code,product_name,quantity,country,ingredients,allergens,additives,nutriscore_score,nutriscore_grade,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,image_url,image_ingredients_url,image_nutrition_url
8710100127003,Quaker Cruesli Fruita,375,"Francia,España","Copos de avena integral (29%), trigo integral (17%), jarabe de glucosa, azúcar, aceites vegetales (aceite de girasol, aceite de coco), coco seco (5,3%), plátano seco (3,8%), oligofructosa, pasas (2,8%), papaya seca (2,2%), piña seca (1,7%), manzana seca (1,3%), harina de arroz (1,3%), harina de trigo (1,1%), humectante (glicerol), miel, colorante (caramelo natural), aromas, antioxidante (tocoferol), acidulante (ácido cítrico), conservante (dióxido sulfuroso). Este producto se fabrica en una fábrica que también usa leche, frutos secos, soja, sésamo y cacahuetes.","en:gluten,en:nuts,en:peanuts,en:sesame-seeds,en:soybeans","en:e150a,en:e330,en:e422",8,c,440,1841,15,4,19,7,6,0,0,https://static.openfoodfacts.org/images/products/871/010/012/7003/front_es.8.400.jpg,https://static.openfoodfacts.org/images/products/871/010/012/7003/ingredients_es.22.400.jpg,https://static.openfoodfacts.org/images/products/871/010/012/7003/nutrition_es.31.400.jpg
8710398161499,Cruesli chocolate,500,"Belgique,France","flocons d'avoine complets (37%), chocolat noir* ** (12%) [cacao, sucre, arôme naturel de vanille, émulsifiants (_lécithine de soja_, polyglycerol polyricinoleate), huile de tournesol, sucre, _blé complet_ (9,6%), sirop de glucose, oligofructose (extrait de racine de chocorée), farine de riz (2,1%), farine de _blé_ (1,9%), noix de coco séchée, mélasse, sel, cannelle, sucre caramélisé, arômes, antioxydant (tocophérol).","en:gluten,en:soybeans","en:e307c,en:e322,en:e322i,en:e476",9,c,455,1904,19,5,16,10,8,1,0,https://static.openfoodfacts.org/images/products/871/039/816/1499/front_en.6.400.jpg,https://static.openfoodfacts.org/images/products/871/039/816/1499/ingredients_en.9.400.jpg,
3168930010906,Cruesli chocolat noir,450,"Belgique,France,Polynésie française,Nouvelle-Calédonie,La Réunion,Suisse","_Avoine_ complète 37%, chocolat noir 12% [cacao, sucre, arôme naturel de vanille,  émulsifiants (lécithine de _soja_, polyglycerol polyricinoleate)], huile de tournesol, sucre, _blé_ complet 9.6%, sirop de glucose, oligofructose, farines de riz et _blé_ 1.9%, noix de coco séchée, mélasse, sel, cannelle, sucre caramélisé, arômes, antioxydant.","en:gluten,en:soybeans,fr:avoine","en:e322,en:e322i,en:e476",9,c,478,1906,19,5,16,10,8,0,0,https://static.openfoodfacts.org/images/products/316/893/001/0906/front_fr.50.400.jpg,https://static.openfoodfacts.org/images/products/316/893/001/0906/ingredients_fr.48.400.jpg,https://static.openfoodfacts.org/images/products/316/893/001/0906/nutrition_fr.49.400.jpg
3168930010869,Cruesli Chocolat noir,900,"fr:Frankrijk, en:switzerland","_Avoine_ complète (37%), chocolat noir (12%) [cacao. sucre, arôme naturel de vanille, émulsifiants (lécithine de soja, polyglycerol polyricinoleate)] , huile de tournesol, sucre, _blé_ complet (9.6%) sirop de glucose, oligofructose, farines de riz et _blé_ (1.9%), noix de coco séchée, mélasse, sel, cannelle, sucre caramélisé, arômes,  antioxydant (tocopherol)","en:gluten,en:soybeans,fr:avoine","en:e307c,en:e322,en:e322i,en:e476",9,c,455,1906,19,5,16,10,8,0,0,https://static.openfoodfacts.org/images/products/316/893/001/0869/front_fr.40.400.jpg,https://static.openfoodfacts.org/images/products/316/893/001/0869/ingredients_fr.25.400.jpg,https://static.openfoodfacts.org/images/products/316/893/001/0869/nutrition_fr.17.400.jpg
3222475413469,P'tites Billes Miel,375,France,"Céréales 83 % (semoule de maïs 43.5 % - farine de _blé_ 39.5 %) - sucre - miel 5% - sel - antiagglomérant : carbonate de calcium - arôme naturel - colorants : rocou, caroténoïdes mélangés - caramel (sucre - eau) - sirop de sucre caramélisé - vitamines : B1, B2, B5, B6, B9, B12, H, PP et ferTraces d'arachide, soja, lait, fruits à coque et graines de sésame.","en:gluten,en:milk,en:nuts,en:sesame-seeds,en:soybeans","en:e150,en:e160a,en:e160b,en:e170,en:e170i",9,c,380,1612,1,0,25,3,7,1,0,https://static.openfoodfacts.org/images/products/322/247/541/3469/front_fr.16.400.jpg,https://static.openfoodfacts.org/images/products/322/247/541/3469/ingredients_fr.17.400.jpg,https://static.openfoodfacts.org/images/products/322/247/541/3469/nutrition_fr.18.400.jpg
3560070800209,Cereales coeur fondant noisette&chocolat,375,France,"Céréales 53,4 % (farine de _blé_, riz, _avoine_, son de _blé_), fourrage aux _noisettes_ et au chocolat 35 % [(sucre de canne, _noisettes_ 5,2 %, huile de tournesol, _lait_ écrémé, cacao maigre en poudre), chocolat noir 2,1 % (pâte de cacao, sucre de canne, beurre de cacao, émulsifiant : lécithines de tournesol, extrait de vanille)], sucre de canne, caramel (sucre, eau), sel de mer, émulsifiant : carbonate de calcium.","en:gluten,en:milk,en:nuts,fr:avoine,fr:avoine","en:e322,en:e322i",9,c,421,1761,12,3,29,7,9,0,0,https://static.openfoodfacts.org/images/products/356/007/080/0209/front_fr.75.400.jpg,https://static.openfoodfacts.org/images/products/356/007/080/0209/ingredients_fr.33.400.jpg,https://static.openfoodfacts.org/images/products/356/007/080/0209/nutrition_fr.77.400.jpg
8480000095473,Cereales rellenos de crema de cacao y avellana,400,Spain,"Masa cobertura (60%) (harina de maíz (25,2%), harina de arroz (19,1%), azúcar, cacao en polvo (6%), sal, gasificante (carbonato ácido de sodio)), relleno crema de cacao (40%) (azúcar, aceite de girasol, cacao en polvo desgrasado (4%), pasta de _avellanas_ (1,6%), pasta de cacao (0,8%), aroma de _avellanas_ y vainilla, emulgente (lecitina de girasol), antioxidante (tocoferol).",en:nuts,"en:e322,en:e500,en:e500ii",12,d,461,1936,17,3,24,2,6,0,0,https://static.openfoodfacts.org/images/products/848/000/009/5473/front_es.3.400.jpg,https://static.openfoodfacts.org/images/products/848/000/009/5473/ingredients_es.18.400.jpg,https://static.openfoodfacts.org/images/products/848/000/009/5473/nutrition_es.21.400.jpg
3700214618004,Boisson riz quinoa cacao,1,France,"Eau, riz Thai* 10%, quinoa* 5%, sucre de canne*, cacao* en poudre 1,5%, huile de tournesol* pressée à froid, épaississant: farine de graines de caroube*, sel marin.",,en:e410,0,b,73,305,1,0,2,1,1,0,0,https://static.openfoodfacts.org/images/products/370/021/461/8004/front_fr.3.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/8004/ingredients_fr.16.400.jpg,https://static.openfoodfacts.org/images/products/370/021/461/8004/nutrition_fr.31.400.jpg
3560071161507,Pâte à Pizza,260,"France, en:belgium","Farine de blé 61%, eau, huile de colza, alcool éthylique, sel, poudres à lever : diphosphates et carbonates de sodium, stabilisant : gomme guar, levure désactivée, levure boulangère sèche. Peut contenir des traces de lait.",en:gluten,"en:e1510,en:e412,en:e450,en:e450i,en:e500",10,c,306,1229,7,1,1,2,7,2,1,https://static.openfoodfacts.org/images/products/356/007/116/1507/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/356/007/116/1507/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/356/007/116/1507/nutrition_fr.11.400.jpg
5010029204735,Minis choco,450,"Belgien,Frankreich,Deutschland,Niederlande,Spanien","Blé complet (84 %), sucre, chocolat (12 %) [sucre, pâte de cacao, beurre de cacao, émulsifiant : lécithine de soja, arôme], sel, arôme, fer, niacine (Vitamine B3), thiamine (Vitamine B1), riboflavine (Vitamine B2), acide folique (Vitamine B9).","en:gluten,en:soybeans","en:e322,en:e322i",0,b,391,1636,5,3,21,9,10,0,0,https://static.openfoodfacts.org/images/products/501/002/920/4735/front_fr.46.400.jpg,https://static.openfoodfacts.org/images/products/501/002/920/4735/ingredients_fr.53.400.jpg,https://static.openfoodfacts.org/images/products/501/002/920/4735/nutrition_fr.48.400.jpg
