code,product_name,quantity,country,ingredients,allergy,additives,nutriscore_score,nutriscore_grade,energy-kcal_100g,Energy-kj_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,image_url,image_ingredients_url,image_nutrition_url
5057753283988,Garlic Baguette,170,en:United Kingdom,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Palm Oil, Rapeseed Oil, Garlic, Salt, Yeast, Concentrated Lemon Juice, Dried Parsley, Emulsifier (Mono - and Di-Glycerides of Fatty Acids), Flour Treatment Agent (Ascorbic Acid), Flavouring, Colour (Beta-Carotene). Allergy Advice For allergens, including cereals containing gluten, see ingredients in bold. Suitable for vegans",en:gluten,"en:e160a,en:e160ai,en:e300,en:e471",-2,a,339,1418,13,4,2.7,2.2,9.7,0.8,0.32,https://static.openfoodfacts.org/images/products/505/775/328/3988/front_en.4.400.jpg,https://static.openfoodfacts.org/images/products/505/775/328/3988/ingredients_en.7.400.jpg,https://static.openfoodfacts.org/images/products/505/775/328/3988/nutrition_en.10.400.jpg
3227291015170,Les Pommes de terre lamelles à rissoler,400,"France, en:af","Pommes de terre (92,5 %), huile végétale de tournesol (7 %), arôme, antioxydant : _métabisulfite_ de sodium, émulsifiant : E451.",en:sulphur-dioxide-and-sulphites,"en:e223,en:e451",-5,a,132,552,7.1,1,0.5,0,1.9,0.15,0.06,https://static.openfoodfacts.org/images/products/322/729/101/5170/front_fr.19.400.jpg,https://static.openfoodfacts.org/images/products/322/729/101/5170/ingredients_fr.10.400.jpg,https://static.openfoodfacts.org/images/products/322/729/101/5170/nutrition_fr.11.400.jpg
40882611,Buddha bowl,310,France,"103 g de Couscous et légumineuses cuisinées (33,3%) : préparation précuite à base de blé dur et de lentilles, réhydratée 7% (eau, semoule de blé dur précuite, farine de lentilles, pois chiches cuits 6,6% (pois chiches, eau, sel), tomates 5,9%, gros pois 5,1%, semoule de blé dur réhydratée 5%, gomasio (graines de sésame complet, sel marin non raffiné), jeunes pousses épinard, plantes aromatiques, huile de colza, huile d'olive vierge extra, sel 70,5 g de Crudités et tomates cerise marinées (22,7%) : chou blanc 8% tomates cerise semi-déshydratées marinées 6,4% (tomates cerise semi-déshydra - tées 6,2%, huile de tournesol, sel, plantes aromatiques), radis, carottes. 59,5 g de salades mélangées (19,2%) : Laitue, chicorée et roquette 52 g de Boulettes à base de pois chiches, fèves et coriandre cuites (16,7%) : pois chiches précuits 9'5 (eau, pois chiches), fèves 2,5%, oignons pré-frits (oignons, huile de tournesol), huile d'olive vierge extra, huiles végétales (tournesol, colza), farine de blé coriandre 0,3%, persil, sel épices menthe douce, épaississant: méthylcellulose, aromate. 25 g de Vinaigrette à l'huile d'avocat et au citron (8,1%) : huile de colza. huile d'avocat 2%, moutarde de Dijon (eau, graines de moutarde, vinaigre d'alcool, sel), lus de, citron concentré 0,3%, sel herbes de Provence, poivre a Traces éventuelles de céleri, de lait, de mollusques, d'euf de poissons de soja, de fruits à coque et de lupin.","en:gluten,en:mustard",en:e461,-5,a,171,715,12,1.4,3.6,3.6,3.9,0.6,0.24,https://static.openfoodfacts.org/images/products/40882611/front_fr.14.400.jpg,https://static.openfoodfacts.org/images/products/40882611/ingredients_fr.22.400.jpg,https://static.openfoodfacts.org/images/products/40882611/nutrition_fr.19.400.jpg
5410171004793,Golden Croquettes,1,France,"Pommes de terre (80%, origine: Belgique, Hollande, Allemagne, France), huile de tournesol (7%), pommes de terre déshydratées, sel, stabilisant: E464 et E471, dextrose, oignon en poudre, ail en poudre, épices.",en:gluten,"en:e464,en:e471",-4,a,0,759,7,0.8,1,3,3,0.9,0.36,https://static.openfoodfacts.org/images/products/541/017/100/4793/front_fr.21.400.jpg,https://static.openfoodfacts.org/images/products/541/017/100/4793/ingredients_fr.22.400.jpg,https://static.openfoodfacts.org/images/products/541/017/100/4793/nutrition_fr.23.400.jpg
3364699308340,Oignon frit,150,France,"OIGNONS 76%, HUILE DE PALME, FARINE DE BLE TENDRE, SEL.",en:gluten,no_additives,14,d,580,2427,44,20,15,4.5,6,1.5,0.6,https://static.openfoodfacts.org/images/products/336/469/930/8340/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/336/469/930/8340/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/336/469/930/8340/nutrition_fr.14.400.jpg
20360832,Alesto cruspies,250,France,"_cacahuètes_ 46%, amidon (maïs, _blé_), farine de _blé_, huile végétale (palme, tournesol), sucre, sel, biscotte (farine de _blé_, levure, sel), poudre d'oignon, extrait de levure, arôme, paprika en poudre, _fromage en poudre _, acidifiants (acide malique, acide citron), ail en poudre","en:gluten,en:peanuts,en:fromage-en-poudre,fr:fromage-en-poudre,fr:fromage-en-poudre",en:e296,11,d,514,2151,31.8,4.3,8,0,14.2,2.39,0.956,https://static.openfoodfacts.org/images/products/20360832/front_fr.22.400.jpg,https://static.openfoodfacts.org/images/products/20360832/ingredients_fr.26.400.jpg,https://static.openfoodfacts.org/images/products/20360832/nutrition_fr.6.400.jpg
8853002302427,นมถั่วเหลืองผสมคอลลาเจน,180,Thailand,"น้ำนมถั่วเหลือง (Soy Mil) 92.5% 6.2% น้ำมันถั่วเหลือง (Soy Bean Oil) 0.4% น้ำตาล (Sugar) น้ำมันมะพร้าว (Coconut Oil) 0.3% น้ำมันปาล์ม (Palm Oil) 0.3% คอลลาเจนจากพิช (Collagen) 0.005% 0.004% สารสกัดจากเมล็ดองุ่น 0.0005% 5mUu5 (Vitamin E) (Grape Seed Extract) สารทำให้คงตัว (INS 407), อิมัลชี้ไฟเออร์ (INS 471) แต่งกลิ่นสังเคราะห์",en:gluten,"en:e407,en:e471",-6,a,72.2,302,2.5,0.83,8.33,0,3.33,0.13,0.05,https://static.openfoodfacts.org/images/products/885/300/230/2427/front_th.15.400.jpg,https://static.openfoodfacts.org/images/products/885/300/230/2427/ingredients_th.18.400.jpg,https://static.openfoodfacts.org/images/products/885/300/230/2427/nutrition_th.16.400.jpg
8853002303332,นมถั่วเหลืองผสมข้าวโพด,180,Thailand,"น้ำนมถั่วเหลือง 82% Soy Milk น้ำนมข้าวโพด 10% Corn Milk น้ำตาล 5.6% Sugar ใยอาหาร 1.4% Fiber น้ำมันถั่วเหลือง 0.7% Soy bean Oil 5MTUSOU .01% Vitamin Complex ลูทีน 0.0056% Lutein asmlaoo (INS 4600, INS 466, INS 407), INS 471, Nature Identical Flavor Added",en:gluten,"en:e407,en:e466,en:e471",-8,a,130,544,4.5,1,12,3,5,0.15,0.06,https://static.openfoodfacts.org/images/products/885/300/230/3332/front_th.31.400.jpg,https://static.openfoodfacts.org/images/products/885/300/230/3332/ingredients_th.29.400.jpg,https://static.openfoodfacts.org/images/products/885/300/230/3332/nutrition_th.28.400.jpg
7290011810153,Chou rouge en salade,500,France,"Aients : chou rouge (50%) huile végétale  (Colza/Soja), eau, sucre, œufs, vinaigre, sel de table, stabilisateur végétal E-412, E-415), conservateur (E-202) ingrédients allergènes: contient des œufs. Peut contenir des traces de noix, pignon soja, céleri et sésame.",en:eggs,"en:e202,en:e415",0,b,224,937,21.1,1.6,6.7,1.3,1.1,0.6,0.24,https://static.openfoodfacts.org/images/products/729/001/181/0153/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/729/001/181/0153/ingredients_fr.10.400.jpg,https://static.openfoodfacts.org/images/products/729/001/181/0153/nutrition_fr.7.400.jpg
3596710371709,Lentilles corail,500,France,"Lentilles corail, huile végétale de coton.",en:gluten,no_additives,-11,a,326,1364,1.5,0.2,1.8,10.8,24,0.01,0.004,https://static.openfoodfacts.org/images/products/359/671/037/1709/front_fr.27.400.jpg,https://static.openfoodfacts.org/images/products/359/671/037/1709/ingredients_fr.28.400.jpg,https://static.openfoodfacts.org/images/products/359/671/037/1709/nutrition_fr.29.400.jpg
5057753283988,Garlic Baguette,170,en:United Kingdom,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Palm Oil, Rapeseed Oil, Garlic, Salt, Yeast, Concentrated Lemon Juice, Dried Parsley, Emulsifier (Mono - and Di-Glycerides of Fatty Acids), Flour Treatment Agent (Ascorbic Acid), Flavouring, Colour (Beta-Carotene). Allergy Advice For allergens, including cereals containing gluten, see ingredients in bold. Suitable for vegans",en:gluten,"en:e160a,en:e160ai,en:e300,en:e471",-2,a,339,1418,13,4,2.7,2.2,9.7,0.8,0.32,https://static.openfoodfacts.org/images/products/505/775/328/3988/front_en.4.400.jpg,https://static.openfoodfacts.org/images/products/505/775/328/3988/ingredients_en.7.400.jpg,https://static.openfoodfacts.org/images/products/505/775/328/3988/nutrition_en.10.400.jpg
