product_name,ingredients,nutrition_grade,nutrition_score,energy,sugar,fiber,protein,sodium,fat,saturated_fat,lipids,carbohydrates,additives,allergy,category
"Sauce Aigre Douce 240 G","MOLHO VINAGRETE INGREDIENTES: AGUA, VINAGRE DE VINHO (22%), ÓLEODE GIRASSOL, AÇÚCAR,SAL ESTABILIZADOR (E401,E415) CEBOLA ALHO, PIMENTA BRANCA, PLANTAS AROMATICAS PIMENTO VERMELHO.CONSERVANTE (E202), CORANTE (E160a ANTIOXIDANTE (EXTRATOS DE ROSMANINHO).",d,12.0,669.0,4.5,0.8,0.0,0.92,14.0,1.4,0.0,0.0,"en:e160a,en:e202,en:e401,en:e415","no allergy",sauces
"Sauce béarnaise","Huile de colza, eau, extraits naturels et arôme (extrait de LAIT, colorant : beta-carotène, arôme de beurre sel vinaigre), vinaigre, sucre, estragon, sel, amidon modifié de mais, épaississant gomme de xanthane, extrait de romarin et de thé vert, antioxydant : EDTA. Contient: lait. Peut contenir des traces d'oeufs, moutarde, céleri, soja, blé.",e,21.0,2996.0,3.3,0.0,0.8,0.744,65.0,5.3,0.0,0.0,"en:e14xx,en:e160a,en:e160ai,en:e385,en:e392,en:e415","no allergy",sauces
"Sauce burger","huile de colza, sirop de glucose-fructose, eau, _moutarde_ (eau, vinaigre d'alcool, graines de _moutarde_, sel, épices), purée de tomates, jaune d'_œuf_, sirop de sucre candi, vinaigre d'alcool, sel, persil déshydraté, jus de citron concentré, arômes naturels (dont _céleri_), épaississant : gomme xanthane, colorants : extrait de paprika et bêta-carotène, oignon en poudre, épices.",e,21.0,2184.0,12.0,0.0,1.3,0.89,52.0,4.5,0.0,0.0,"en:e160a,en:e160ai,en:e160c,en:e415","no allergy",sauces
"Tomate mozzarella","fromage à la crème (lait pasteurisé, crème, sel, ferments lactiqués), tomațe séchée 20,26% [tomates, sel, glucose, acidifiant (E330T, antioxydant (E300)], huile de colza non hydrogénée, arộme națurel de mozzarella 3,41% (crème, fromage (lait pasteurisé, crème, ćultures microbiennes, sel), matièrés grasses du lait, arôme naturel, sel, antíoxydant (E306)], basílic, parmésan (lait, sel, présure microbienne), piment rouge (piment rouge, sel, vinaigre, eau, fibrę d'agrumes), đil, sel, huile d'olive non hydrogénée, gousses d'ai] mariné [ail, huile de colza etďolive non hydrógénée, sel, échalotes, épices, herbes, huile de courge et de lin nốn húdrogénée, persil, vingigre bàlsamique, antioxydant (E300), cónservateurs (E202, E211), colorant (E150d)], origan, conservateur (E20Z), sucre, Grana Padano (lạit, sel, présuré animale, lysozyme d'œuf), acidifiants (E330, E260), pignons de pin, épices, flocons de pomme de terre ſpommè de terre séchée, émulsifiant(E471), antioxydants (E304, E223), açidifiant (E330), épices, drôme naturel), émulsifiant (E415), épaississant (E412).",e,20.0,1117.0,6.1,2.0,6.09,0.8,24.0,12.0,0.0,0.0,"en:e1105,en:e150d,en:e202,en:e211,en:e223,en:e260,en:e300,en:e304,en:e306,en:e330,en:e412,en:e415,en:e471","no allergy",sauces
"Petits Lingots","Colin d'Alaska 58%, chapelure 20 % (farine de blé, eau, épices, sel, levure), huile végétale, farine de blé, eau, amidon de pomme de terre, sel",b,1.0,939.0,1.0,0.9,13.0,0.34544,9.1,1.2,0.0,0.0,"no additives","no allergy",fish
"Saumon mariné au citron et à l'aneth","Portion de _saumon_ (70 %), eau, huile végétale, vinaigre d'alcool, sel, jus de citron concentré (0,9 %), vin blanc, sucre, aneth (0,29 %), amidon transformé de maïs, arômes (_noix_), épaississants : gomme xanthane et gomme guar, colorant : oléorésine de paprika.",b,0.0,828.0,0.0,0.0,13.0,0.53,0.0,0.0,0.0,0.0,"en:e14xx,en:e160c,en:e412,en:e415","no allergy",fish
"Atum Posta Em Oleo Vegetal","_Thon_ (65 %), huile végétale (tournesol) (34 %), sel.",c,3.0,828.0,0.0,0.0,25.0,0.52,10.0,1.2,0.0,0.0,"no additives","no allergy",fish
"2 panés au colin d'Alaska","Préparation à base de colin d'Alaska 70 % : _colin_ d'Alaska 66 %, eau, _calamar_, amidon modifié, sel, méthylcellulose (% exprimés sur la préparation à base de colin d'Alaska).  Panure 30 % : chapelure (farine de _blé_, levure, sel, épices : curcuma, paprika), enrobant (eau, farine de _blé_), huiles végétales (tournesol, colza).",b,0.0,803.0,0.7,0.8,12.0,0.36,7.4,0.8,0.0,0.0,"en:e14xx,en:e461","no allergy",fish
"Accras de morue à la créole","_Morue_ 50 %, huiles végétales (tournesol, colza), farine de _blé_, _œuf_, poivrons rouges, oignons préfrits (oignons, huile de tournesol), fécule de pomme de terre, eau, flocons de pomme de terre, huile d'olive vierge extra, persil, ail, agents levants (poudre à lever : E450i, E500ii, amidon de _froment_, farine de _froment_), blanc d'_œuf_ en poudre, épice et extrait d'épice 0,4 %.",c,4.0,929.0,2.18,1.22,11.7,0.704,12.1,1.24,0.0,0.0,"en:e450,en:e450i,en:e500,en:e500ii","no allergy",fish
"Filet de colin d'Alaska à la Provençale","55% filet de colin d'Alaska, 14% tomates, 8% courgette, huiles végétales (tournesol, cotza), eau, 3% poivrons, 3% fromage Edam, 1,5% aubergines, 1,5% olives noirs, granulés d'oignons., ail, yogourt doux, sel de cuisine, extrait de levure, amidon modifié, herbes (persil, origan), épices (poivre blanc, curcuma), doublé concentré de tomate, sucre, sirop de glucose séchée, dextrose, colorant: extrait de paprika.",b,0.0,444.0,1.2,0.0,10.5,0.32,6.1,1.1,0.0,0.0,"en:e14xx,en:e160c","no allergy",fish
